iter	Passed	Remaining
450	1098	1337
451	1101	1335
452	1103	1332
453	1106	1330
454	1110	1330
455	1113	1328
456	1115	1325
457	1117	1322
458	1119	1319
459	1121	1316
460	1126	1316
461	1127	1313
462	1131	1311
463	1133	1308
464	1135	1305
465	1138	1304
466	1140	1302
467	1143	1300
468	1147	1299
469	1150	1297
470	1153	1295
471	1156	1293
472	1158	1291
473	1166	1294
474	1168	1291
475	1170	1288
476	1172	1285
477	1174	1282
478	1177	1280
479	1179	1277
480	1181	1275
481	1184	1272
482	1186	1269
483	1187	1266
484	1189	1262
485	1193	1262
486	1195	1259
487	1197	1256
488	1200	1254
489	1201	1250
490	1203	1247
491	1206	1246
492	1210	1245
493	1213	1242
494	1215	1239
495	1216	1236
496	1218	1233
497	1222	1231
498	1224	1229
499	1226	1226
500	1228	1223
501	1229	1220
502	1231	1216
503	1233	1213
504	1234	1210
505	1237	1208
506	1239	1205
507	1240	1201
508	1243	1199
509	1302	1251
510	1304	1248
511	1309	1248
512	1317	1250
513	1319	1247
514	1322	1245
515	1324	1242
516	1327	1240
517	1333	1240
518	1335	1237
519	1337	1234
520	1339	1231
521	1382	1266
522	1385	1263
523	1387	1260
524	1390	1257
525	1400	1262
526	1402	1258
527	1404	1255
528	1407	1253
529	1412	1252
530	1414	1249
531	1416	1246
532	1440	1262
533	1445	1261
534	1451	1261
535	1462	1265
536	1468	1265
537	1471	1263
538	1473	1260
539	1477	1258
540	1480	1255
541	1482	1252
542	1484	1249
543	1486	1246
544	1540	1285
545	1542	1282
546	1544	1279
547	1547	1276
548	1549	1272
549	1551	1269
550	1557	1269
551	1561	1267
552	1565	1265
553	1567	1261
554	1569	1258
555	1570	1254
556	1572	1250
557	1576	1248
558	1578	1245
559	1581	1242
560	1584	1239
561	1602	1248
562	1606	1247
563	1610	1245
564	1619	1247
565	1622	1243
566	1624	1240
567	1626	1236
568	1628	1233
569	1630	1229
570	1632	1226
571	1634	1222
572	1637	1220
573	1639	1216
574	1641	1213
575	1643	1209
576	1645	1206
577	1648	1203
578	1652	1201
579	1655	1198
580	1657	1195
581	1665	1196
582	1668	1193
583	1670	1189
584	1673	1186
585	1678	1185
586	1681	1183
587	1684	1180
588	1686	1177
589	1688	1173
590	1694	1172
591	1696	1168
592	1697	1165
593	1700	1162
594	1702	1158
